SIX/ARP290071876CHF,CADELPLATA N
SIX/DE0007856023CHF,ElringKlinger
SIX/DE0008001009CHF,Deutsche Postbank - Share Price CHF
SIX/DE0008232125CHF,Dt Lufthansa - Share Price CHF
SIX/DE0008303504CHF,TAG Immobil
SIX/DE0008232125EUR,Dt Lufthansa
SIX/DE0008402215CHF,Hannover Rueck
SIX/DE0008404005CHF,Allianz - Share Price CHF
SIX/DE0008404005EUR,Allianz
SIX/DE0008430026CHF,Muenchener Rueckver - Share Price CHF
SIX/DE0008430026EUR,Muenchener Rueckver
SIX/DE000A0D6554CHF,Nordex
SIX/DE000A0CAYB2CHF,Diebold Nixdorf AG
SIX/DE000A0D9PT0CHF,MTU Aero Engin
SIX/DE000A0DJ6J9CHF,SMA Solar Tech
SIX/DE000A0HN5C6CHF,DEUTSCHE WOHNEN SE INH
SIX/DE000A0JQ5U3CHF,Manz
SIX/DE000A0LD2U1CHF,alstria
SIX/DE000A0LD6E6CHF,Gerresheimer
SIX/DE000A0S8488CHF,HHLA
SIX/DE000A0STST2CHF,Tom Tailor Hldg
SIX/DE000A0WMPJ6CHF,AIXTRON
SIX/DE000A0Z1JH9CHF,PSI Software
SIX/DE000A0Z2ZZ5CHF,freenet
SIX/DE000A161N30CHF,Grenke AG
SIX/DE000A1DAHH0CHF,Brenntag
SIX/DE000A1EWWW0EUR,adidas
SIX/DE000A1EWWW0CHF,adidas - Share Price CHF
SIX/DE000A1H8BV3CHF,NORMA Group
SIX/DE000A1J5RX9CHF,Telefonica Dt H
SIX/DE000A1JBPV9CHF,SHW
SIX/DE000A1K0201CHF,GESCO
SIX/DE000A1ML7J1CHF,Vonovia
SIX/DE000A1PHFF7CHF,Hugo Boss
SIX/DE000A1X3XX4CHF,DIC ASSET
SIX/DE000A1TNUT7CHF,Dt Beteiligungs
SIX/DE000A1YCMM2CHF,SolarWorld - Share Price CHF
SIX/DE000A2AA402CHF,Clere AG - Share Price CHF
SIX/DE000A2AADD2CHF,Innogy
SIX/DE000BASF111CHF,BASF N
SIX/DE000BAY0017EUR,Bayer
SIX/DE000BAY0017CHF,Bayer - Share Price CHF
SIX/DE000BFB0019CHF,METRO WHOLE.FOOD
SIX/DE000CBK1001CHF,COMMERZBANK I
SIX/DE000CLS1001CHF,Celesio - Share Price CHF
SIX/DE000ENAG999CHF,E.ON - Share Price CHF
SIX/DE000ENAG999EUR,E.ON
SIX/DE000EVNK013CHF,Evonik Industr
SIX/DE000KC01000CHF,Kloeckner&Co
SIX/DE000KD88880CHF,Kabel Deut Hold - Share Price CHF
SIX/DE000KGX8881CHF,KION GROUP
SIX/DE000KSAG888CHF,K+S - Share Price CHF
SIX/DE000KSAG888EUR,K+S
SIX/DE000LED4000CHF,OSRAM Licht
SIX/DE000LEG1110CHF,LEG Immobilien
SIX/DE000PAH0038CHF,Porsche A Hldg
SIX/DE000PAT1AG3CHF,Patrizia Immobilien
SIX/DE000PRME020CHF,DO Deu Office - Share Price CHF
SIX/DE000PSM7770CHF,ProSiebenSat.1
SIX/DE000STRA555CHF,STRATEC Biomed
SIX/DE000SYM9999CHF,Symrise
SIX/DE000TLX1005CHF,Talanx AG
SIX/DE000TUAG000CHF,TUI
SIX/DE000UNSE018CHF,Uniper
SIX/DE000WACK012CHF,Wacker Neuson
SIX/DE000XNG8888CHF,XING
SIX/DE000WCH8881CHF,Wacker Chemie
SIX/DE000ZAL1111CHF,Zalando
SIX/DK0010181759CHF,Carlsberg
SIX/DK0010268606CHF,Vestas Wind Systems
SIX/DK0060252690CHF,Pandora
SIX/DK0060336014CHF,Novozymes
SIX/DK0060448595CHF,Coloplast
SIX/DK0060534915CHF,Novo Nordisk
SIX/FI0009000681CHF,Nokia
SIX/FR0000031122CHF,AIR France - KLM
SIX/FR0000038259CHF,Eurofins Scientific
SIX/FR0000045072CHF,Credit Agricole
SIX/FR0000054470CHF,UBISOFT Entertain.
SIX/FR0000062671CHF,GROUPE GORGE
SIX/FR0000073272CHF,SAFRAN
SIX/FR0000073298CHF,Ipsos
SIX/FR0000120073CHF,Air Liquide
SIX/FR0000120164CHF,CGG - Share Price CHF
SIX/FR0000120172CHF,Carrefour
SIX/FR0000120271CHF,Total
SIX/FR0000120321CHF,L'Oreal
SIX/FR0000120354CHF,Vallourec
SIX/FR0000120404CHF,Accor
SIX/FR0000120503CHF,Bouygues
SIX/FR0000120578CHF,Sanofi
SIX/FR0000120628CHF,AXA
SIX/FR0000120644CHF,DANONE
SIX/FR0000120685CHF,NATIXIS
SIX/FR0000120693CHF,Pernod-Ricard
SIX/FR0000121014CHF,LVMH
SIX/FR0000121147CHF,Faurecia
SIX/FR0000121261CHF,Michelin
SIX/FR0000121485CHF,Kering
SIX/FR0000121501CHF,Peugeot
SIX/FR0000121667CHF,Essilor Intl
SIX/FR0000121972CHF,Schneider E.SE
SIX/FR0000124141CHF,Veolia Environ.
SIX/FR0000124570CHF,Plastic Omnium
SIX/FR0000124711CHF,Unibail-Rodamco
SIX/FR0000125007CHF,SAINT GOBAIN I
SIX/FR0000125338CHF,Cap Gemini
SIX/FR0000125346CHF,INGENICO
SIX/FR0000125486CHF,Vinci
SIX/FR0000125684CHF,Zodiac Aero
SIX/FR0000127771CHF,Vivendi
SIX/FR0000130007CHF,Alcatel Lucent - Share Price CHF
SIX/FR0000130213CHF,Lagardere
SIX/FR0000130338CHF,Valeo - Share Price CHF
SIX/FR0000130395CHF,Remy Cointreau
SIX/FR0000130403CHF,Christian Dior
SIX/FR0000130577CHF,Publicis Grp
SIX/FR0000130650CHF,Dassault Systemes
SIX/FR0000130809CHF,Societe Generale
SIX/FR0000131104CHF,BNP Paribas
SIX/FR0000131708CHF,Technip - Share Price CHF
SIX/FR0000131906CHF,Renault SA
SIX/FR0000133308CHF,ORANGE
SIX/FR0004056851CHF,Valneva
SIX/FR0010208488CHF,Engie
SIX/FR0010220475CHF,Alstom
SIX/FR0010242511CHF,EDF
SIX/FR0010331421CHF,INNATE PHARMA
SIX/FR0010411983CHF,SCOR SE
SIX/FR0010533075CHF,Getlink
SIX/FR0010613471CHF,Suez Env.Comp.
SIX/FR0012938884CHF,Solocal Group
SIX/FR0013176526CHF,Valeo
SIX/FR0013181864CHF,CGGT - Share Price CHF
SIX/GB0000566504CHF,BHP Billiton GB
SIX/GB0000595859CHF,ARM Hldgs - Share Price CHF
SIX/GB0002875804CHF,Brit Amer Tobacco
SIX/GB0004544929CHF,Imperial Brands plc
SIX/GB0006043169CHF,Morrison Supermkts
SIX/GB0006731235CHF,Associate Brit Food
SIX/GB0007188757CHF,Rio Tinto GB
SIX/GB0007973794CHF,Serco Group
SIX/GB0007980591CHF,BP
SIX/GB0008706128CHF,Lloyds Bank Grp
SIX/GB0008847096CHF,Tesco
SIX/GB0009252882CHF,GlaxoSmithKline
SIX/GB0009895292CHF,Astrazeneca
SIX/GB0031348658CHF,Barclays
SIX/GB00B03MLX29CHF,Royal Dutch Shell
SIX/GB00B03MM408CHF,Royal Dutch Shell-B
SIX/GB00B1VYCH82CHF,Thomas Cook Grp
SIX/GB00B1XZS820CHF,ANGLO PLC
SIX/GB00B24CGK77CHF,Reckitt Ben Grp
SIX/GB00B7T77214CHF,Royal Bk Scot Grp
SIX/GB00BDSFG982CHF,TechnipFMC
SIX/GB00BH4HKS39CHF,Vodafone Group
SIX/GB00BHD66J44CHF,Zeal Network
SIX/GB00BLG2TX24EUR,Rapid Nutrition N
SIX/GG00B247Y973CHF,LUMX GROUP N
SIX/HK0027032686CHF,Galaxy Entertain
SIX/HK0883013259CHF,CNOOC
SIX/HK0941009539CHF,China Mobile
SIX/HK0992009065CHF,Lenovo Group
SIX/IE00BTN1Y115CHF,Medtronic
SIX/IL0010855885CHF,SHL TELEMEDICINE N
SIX/IT0000062072CHF,Assicuraz Generali
SIX/IT0000068525CHF,Saipem - Share Price CHF
SIX/IT0000072618CHF,Intesa Sanpaolo
SIX/IT0001465159CHF,ITALCEMENTI - Share Price CHF
SIX/IT0003128367CHF,Enel
SIX/IT0003132476CHF,ENI
SIX/IT0003497168CHF,Telecom Italia
SIX/IT0003874101CHF,Prada
SIX/IT0004147952CHF,NEWRON PHARMA N
SIX/IT0004167463CHF,COSMO N - Share Price CHF
SIX/IT0004781412CHF,Unicredit - Share Price CHF
SIX/IT0005092165CHF,Banca MPS - Share Price CHF
SIX/IT0005108359CHF,CASSIOPEA N
SIX/IT0005239360CHF,Unicredit
SIX/JP3242800005CHF,CANON
SIX/JP3359600008CHF,Sharp
SIX/JP3435000009CHF,SONY CORP
SIX/JP3436100006CHF,SoftBank
SIX/JP3463000004CHF,Takeda Pharmaceutical Co. Ltd
SIX/JP3585800000CHF,Tokyo Electr Power
SIX/JP3592200004CHF,TOSHIBA CORP
SIX/JP3633400001CHF,Toyota Motor
SIX/JP3756600007CHF,Nintendo Co Ltd
SIX/JP3866800000CHF,Panasonic
SIX/JP3762600009CHF,Nomura Holdings
SIX/JP3868400007CHF,Mazda Motor Corp
SIX/LI0010737216CHF,VPB VADUZ I - Share Price CHF
SIX/LI0315487269CHF,VPB VADUZ N
SIX/LI0030195247CHF,LIECHT LANDBK I - Share Price CHF
SIX/LI0355147575CHF,LIECHT LANDBK N
SIX/LU0061462528CHF,RTL Group
SIX/LU0269583422CHF,Gagfah - Share Price CHF
SIX/LU0307018795CHF,SAF Holland
SIX/LU0323134006CHF,ArcelorMittal - Share Price CHF
SIX/LU1202320294CHF,COSMO PHARM N - Share Price CHF
SIX/LU1598757687CHF,ArcelorMittal
SIX/NL0000009082CHF,Koninklijke KPN NV
SIX/NL0000009132CHF,Akzo Nobel
SIX/NL0000009165CHF,Heineken
SIX/NL0000009355CHF,Unilever DRC
SIX/NL0000009538CHF,Royal Philips
SIX/NL0000009827CHF,Kon DSM
SIX/NL0000235190CHF,Airbus S.E.
SIX/NL0000240000CHF,Qiagen0 - Share Price CHF
SIX/NL0000303600CHF,ING Group NV - Share Price CHF
SIX/NL0000303709CHF,Aegon
SIX/NL0000360618CHF,SBM Offshore
SIX/NL0000379121CHF,Randstad Hldg
SIX/NL0000387058CHF,TomTom
SIX/NL0000400653CHF,Gemalto
SIX/NL0009739416CHF,PostNL
SIX/NL0010273215CHF,ASML Hldg
SIX/NL0010733960CHF,lastminute.com N.V.
SIX/NL0010886891CHF,Royal Imtech - Share Price CHF
SIX/NL0011031208CHF,Mylan
SIX/NL0011509302CHF,Ferrari N.V.0 - Share Price CHF
SIX/NL0011585146CHF,Ferrari N.V.
SIX/NL0011821202CHF,ING Group
SIX/NL0011832936CHF,COSMO PHARM N
SIX/NL0012169213CHF,Qiagen
SIX/NO0005052605CHF,Norsk Hydro
SIX/NO0010063308CHF,Telenor
SIX/NO0010096985CHF,Statoil
SIX/NO0010208051CHF,Yara International
SIX/PTEDP0AM0009CHF,EDP-Energias
SIX/SE0000106270CHF,H & M
SIX/SE0000108656CHF,Telefon Ericsson
SIX/SE0000112724CHF,SCA
SIX/SE0000390296CHF,NIBE Industrier AB N - Share Price CHF
SIX/SE0000242455CHF,Swedbank
SIX/SE0000427361CHF,Nordea Bank
SIX/SE0000667925CHF,Telia Co AB
SIX/SE0008321293CHF,NIBE Industrier AB N
SIX/US00206R1023CHF,AT&T - Share Price CHF
SIX/US00206R1023EUR,AT&T - Share Price CHF
SIX/US00206R1023USD,AT&T
SIX/US0028241000CHF,ABBOTT LABOR
SIX/US00287Y1091CHF,ABBVIE N
SIX/US0028962076CHF,Abercrombie & Fitch
SIX/US00724F1012CHF,Adobe Systems
SIX/US0079031078CHF,Advanced Micro Dev - Share Price CHF
SIX/US0079031078EUR,Advanced Micro Dev - Share Price CHF
SIX/US0138171014CHF,Alcoa - Share Price CHF
SIX/US0138171014EUR,Alcoa - Share Price CHF
SIX/US0138175072CHF,Alcoa - Share Price CHF
SIX/US0138175072EUR,Alcoa - Share Price CHF
SIX/US0153511094CHF,Alexion Pharmaceutl
SIX/US01609W1027CHF,Alibaba Grp - Share Price CHF
SIX/US01609W1027EUR,Alibaba Grp - Share Price CHF
SIX/US01609W1027USD,Alibaba Grp
SIX/US02079K3059CHF,Alphabet - Share Price CHF
SIX/US02079K3059EUR,Alphabet - Share Price CHF
SIX/US02209S1033CHF,Altria Group - Share Price CHF
SIX/US02209S1033EUR,Altria Group - Share Price CHF
SIX/US0231351067CHF,Amazon.com - Share Price CHF
SIX/US0231351067EUR,Amazon.com - Share Price CHF
SIX/US02209S1033USD,Altria Group
SIX/US0258161092CHF,American Express - Share Price CHF
SIX/US0258161092EUR,American Express - Share Price CHF
SIX/US0258161092USD,American Express
SIX/US0268747849CHF,American Intl Group - Share Price CHF
SIX/US0268747849EUR,American Intl Group - Share Price CHF
SIX/US0268747849USD,American Intl Group
SIX/US0311621009CHF,Amgen - Share Price CHF
SIX/US0311621009EUR,Amgen - Share Price CHF
SIX/US0311621009USD,Amgen
SIX/US0351282068CHF,AngloGold Ashanti
SIX/US0378331005CHF,Apple - Share Price CHF
SIX/US0382221051CHF,Applied Materials - Share Price CHF
SIX/US0378331005EUR,Apple - Share Price CHF
SIX/US0394831020CHF,Archer Dan Mid
SIX/US03965L1008CHF,Arconic Inc. - Share Price CHF
SIX/US03965L1008EUR,Arconic Inc. - Share Price CHF
SIX/US04033A1007CHF,Ariad Pharmaceutic - Share Price CHF
SIX/US0567521085CHF,Baidu
SIX/US0572241075CHF,BAKER HUGHES - Share Price CHF
SIX/US0605051046CHF,Bank of America - Share Price CHF
SIX/US0605051046EUR,Bank of America - Share Price CHF
SIX/US0605051046USD,Bank of America
SIX/US0718131099CHF,BAXTER INTL
SIX/US0758871091CHF,Becton Dickinson&Co
SIX/US0846707026CHF,Berkshire Hath
SIX/US0865161014CHF,Best Buy Co
SIX/US09062X1037CHF,Biogen Idec
SIX/US09247X1019CHF,BlackRock
SIX/US0970231058CHF,Boeing - Share Price CHF
SIX/US0970231058EUR,Boeing - Share Price CHF
SIX/US0970231058USD,Boeing
SIX/US1101221083CHF,Bristol Myers Squib - Share Price CHF
SIX/US1101221083EUR,Bristol Myers Squib - Share Price CHF
SIX/US1101221083USD,Bristol Myers Squib
SIX/US1491231015CHF,CATERPILLAR
SIX/US1510201049CHF,Celgene Corp - Share Price CHF
SIX/US1510201049EUR,Celgene Corp - Share Price CHF
SIX/US1567821046CHF,Cerner Corp
SIX/US1667641005CHF,Chevron - Share Price CHF
SIX/US1667641005EUR,Chevron - Share Price CHF
SIX/US16951C1080CHF,China Ming Yang - Share Price CHF
SIX/US1667641005USD,Chevron
SIX/US1713401024CHF,Church & Dwight
SIX/US17275R1023CHF,Cisco Systems - Share Price CHF
SIX/US17275R1023USD,Cisco Systems
SIX/US17275R1023EUR,Cisco Systems - Share Price CHF
SIX/US1729674242CHF,Citigroup - Share Price CHF
SIX/US1729674242EUR,Citigroup - Share Price CHF
SIX/US1729674242USD,Citigroup
SIX/US1912161007EUR,Coca-Cola - Share Price CHF
SIX/US1912161007CHF,Coca-Cola - Share Price CHF
SIX/US1912161007USD,Coca-Cola
SIX/US1921085049CHF,Coeur Mining
SIX/US1924461023CHF,Cognizant Tech Sol
SIX/US1941621039CHF,Colgate-Palmolive - Share Price CHF
SIX/US1941621039EUR,Colgate-Palmolive - Share Price CHF
SIX/US1941621039USD,Colgate-Palmolive
SIX/US20030N1019CHF,Comcast
SIX/US2044481040CHF,Buenaventura - Share Price CHF
SIX/US20825C1045CHF,ConocoPhillips
SIX/US21036P1084CHF,CONST.BRANDS
SIX/US2193501051CHF,Corning - Share Price CHF
SIX/US2193501051EUR,Corning - Share Price CHF
SIX/US2193501051USD,Corning
SIX/US2358511028CHF,Danaher
SIX/US2473617023CHF,Delta Air Lines
SIX/US2441991054CHF,Deere & Co
SIX/US2546871060CHF,Walt Disney - Share Price CHF
SIX/US2546871060EUR,Walt Disney - Share Price CHF
SIX/US2546871060USD,Walt Disney
SIX/US2605431038CHF,Dow Chemical - Share Price CHF
SIX/US2605431038EUR,Dow Chemical - Share Price CHF
SIX/US2605431038USD,Dow Chemical - Share Price CHF
SIX/US2635341090CHF,EI Du Pont Nemours - Share Price CHF
SIX/US2635341090EUR,EI Du Pont Nemours - Share Price CHF
SIX/US2635341090USD,EI Du Pont Nemours - Share Price CHF
SIX/US26833A1051CHF,E-COMMERCE - Share Price CHF
SIX/US2686481027CHF,EMC - Share Price CHF
SIX/US2686481027EUR,EMC - Share Price CHF
SIX/US2786421030CHF,eBay - Share Price CHF
SIX/US2786421030EUR,eBay - Share Price CHF
SIX/US2786421030USD,eBay
SIX/US28176E1082CHF,EDWARDS LIFESCIENES
SIX/US2910111044CHF,Emerson Electric Co
SIX/US29355A1079CHF,Enphase Energy
SIX/US3021041047CHF,The ExOne
SIX/US30212P3038CHF,Expedia Group Inc
SIX/US30219G1085CHF,Express Sc Hldg
SIX/US30231G1022CHF,Exxon Mobil - Share Price CHF
SIX/US30231G1022EUR,Exxon Mobil - Share Price CHF
SIX/US30303M1027CHF,Facebook - Share Price CHF
SIX/US30303M1027EUR,Facebook - Share Price CHF
SIX/US30303M1027USD,Facebook
SIX/US31428X1063CHF,Fedex - Share Price CHF
SIX/US31428X1063EUR,Fedex - Share Price CHF
SIX/US31428X1063USD,Fedex
SIX/US31816Q1013CHF,FireEye
SIX/US3364331070CHF,First Solar - Share Price CHF
SIX/US3364331070EUR,First Solar - Share Price CHF
SIX/US3453708600CHF,Ford Motor - Share Price CHF
SIX/US3453708600EUR,Ford Motor - Share Price CHF
SIX/US3453708600USD,Ford Motor
SIX/US35671D8570CHF,Freeport-McMoR - Share Price CHF
SIX/US35671D8570EUR,Freeport-McMoR - Share Price CHF
SIX/US35671D8570USD,Freeport-McMoR
SIX/US35952H1068CHF,FuelCell Energy0 - Share Price CHF
SIX/US35952H5028CHF,Fuelcell Energy
SIX/US3696041033CHF,GEN ELEC
SIX/US3703341046CHF,General Mills
SIX/US37045V1008CHF,General Motors - Share Price CHF
SIX/US37045V1008EUR,General Motors - Share Price CHF
SIX/US37045V1008USD,General Motors
SIX/US3755581036CHF,Gilead Sciences - Share Price CHF
SIX/US3755581036EUR,Gilead Sciences - Share Price CHF
SIX/US3798901068CHF,Glu Mobile
SIX/US38141G1040CHF,Gldm Sachs Grp - Share Price CHF
SIX/US38141G1040EUR,Gldm Sachs Grp - Share Price CHF
SIX/US38141G1040USD,Gldm Sachs Grp
SIX/US3825501014CHF,GOODYEAR
SIX/US38268T1034CHF,GoPro - Share Price CHF
SIX/US38268T1034EUR,GoPro - Share Price CHF
SIX/US3994731079CHF,Groupon
SIX/US40434L1052CHF,HP Inc. - Share Price CHF
SIX/US40434L1052EUR,HP Inc. - Share Price CHF
SIX/US40434L1052USD,HP Inc.
SIX/US4062161017CHF,Halliburton
SIX/US41135V3015CHF,Hanwha Q CELLS Co. Ltd. - Share Price CHF
SIX/US4128221086CHF,Harley-Davidson
SIX/US4227041062CHF,Hecla Mining
SIX/US42366C1036CHF,Hemispherx Biophrma - Share Price CHF
SIX/US4370761029CHF,Home Depot - Share Price CHF
SIX/US4370761029EUR,Home Depot - Share Price CHF
SIX/US4370761029USD,Home Depot
SIX/US4581401001CHF,Intel - Share Price CHF
SIX/US4581401001EUR,Intel - Share Price CHF
SIX/US4592001014CHF,IBM - Share Price CHF
SIX/US4592001014EUR,IBM - Share Price CHF
SIX/US46120E6023CHF,Intuitive Surgical
SIX/US4622221004CHF,IONIS Pharmaceuticals
SIX/US46123D2053CHF,InvenSense - Share Price CHF
SIX/US4627261005CHF,iRobot
SIX/US4643301090CHF,ISIS Pharmaceutical0 - Share Price CHF
SIX/US4660902069CHF,JA Solar Hldgs
SIX/US46625H1005CHF,JPMorgan Chase - Share Price CHF
SIX/US46625H1005EUR,JPMorgan Chase - Share Price CHF
SIX/US47759T1007CHF,JinkoSolar - Share Price CHF
SIX/US47759T1007EUR,JinkoSolar - Share Price CHF
SIX/US47759T1007USD,JinkoSolar
SIX/US4781601046CHF,Johnson & Johnson - Share Price CHF
SIX/US4781601046EUR,Johnson & Johnson - Share Price CHF
SIX/US4837091010CHF,Kandi Techn Grp
SIX/US4878361082CHF,Kellogg
SIX/US49271M1009CHF,Keurig Green - Share Price CHF
SIX/US5007541064CHF,Kraft Heinz Co
SIX/US5178341070CHF,Las Vegas Sands
SIX/US5324571083CHF,LILLY ELI
SIX/US53578A1088CHF,LinkedIn - Share Price CHF
SIX/US5398301094CHF,Lockheed Martin
SIX/US57636Q1040CHF,MasterCard
SIX/US5801351017CHF,McDonald's - Share Price CHF
SIX/US5801351017EUR,McDonald's - Share Price CHF
SIX/US5801351017USD,McDonald's
SIX/US58933Y1055CHF,Merck & Co - Share Price CHF
SIX/US58933Y1055EUR,Merck & Co - Share Price CHF
SIX/US5949181045CHF,Microsoft - Share Price CHF
SIX/US5949181045EUR,Microsoft - Share Price CHF
SIX/US5951121038CHF,Micron Technology - Share Price CHF
SIX/US5951121038EUR,Micron Technology - Share Price CHF
SIX/US5951121038USD,Micron Technology
SIX/US6092071058CHF,Mondelez Intl - Share Price CHF
SIX/US6092071058EUR,Mondelez Intl - Share Price CHF
SIX/US6092071058USD,Mondelez Intl
SIX/US6174464486CHF,Morgan Stanley - Share Price CHF
SIX/US64110L1061CHF,Netflix - Share Price CHF
SIX/US6174464486EUR,Morgan Stanley - Share Price CHF
SIX/US64110L1061EUR,Netflix - Share Price CHF
SIX/US64110W1027CHF,NETEASE
SIX/US6516391066CHF,Newmont Mining - Share Price CHF
SIX/US6516391066EUR,Newmont Mining - Share Price CHF
SIX/US6541061031CHF,Nike - Share Price CHF
SIX/US6541061031EUR,Nike - Share Price CHF
SIX/US6541061031USD,Nike
SIX/US67018T1051CHF,Nu Skin Enterprises
SIX/US67066G1040CHF,NVIDIA
SIX/US68389X1054CHF,Oracle - Share Price CHF
SIX/US68403P2039CHF,Oramed Pharma - Share Price CHF
SIX/US68389X1054EUR,Oracle - Share Price CHF
SIX/US68620A1043CHF,Organovo Hldgs
SIX/US69331C1080CHF,PGE CORP - Share Price CHF
SIX/US70450Y1038CHF,PayPal - Share Price CHF
SIX/US70450Y1038EUR,PayPal - Share Price CHF
SIX/US7081601061CHF,JC Penney
SIX/US7134481081CHF,PEPSICO
SIX/US7170811035CHF,PFIZER - Share Price CHF
SIX/US7181721090CHF,PHILIP MRRS INT-WI
SIX/US72919P2020CHF,Plug Power
SIX/US7415034039CHF,Priceline Group - Share Price CHF
SIX/US7415034039EUR,Priceline Group - Share Price CHF
SIX/US7415034039USD,Priceline Group
SIX/US7427181091CHF,Procter & Gamble - Share Price CHF
SIX/US7427181091EUR,Procter & Gamble - Share Price CHF
SIX/US74348T1025CHF,Prospect Captl
SIX/US74734M1099CHF,Qihoo 360 Techn - Share Price CHF
SIX/US7475251036CHF,Qualcomm - Share Price CHF
SIX/US7475251036EUR,Qualcomm - Share Price CHF
SIX/US7509171069CHF,Rambus
SIX/US75886F1075CHF,Regeneron Pharma
SIX/US75971T1034CHF,Renesola - Share Price CHF
SIX/US75971T3014CHF,Renesola
SIX/US7750431022CHF,Rofin-Sinar Tech - Share Price CHF
SIX/US79466L3024CHF,Salesforce.com
SIX/US80004C1018CHF,SanDisk - Share Price CHF
SIX/US8006771062CHF,Sangamo Therapeutics
SIX/US83304A1060CHF,SNAP INC. - Share Price CHF
SIX/US83304A1060EUR,SNAP INC. - Share Price CHF
SIX/US8486371045CHF,Splunk
SIX/US83416T1007CHF,SolarCity - Share Price CHF
SIX/US8550301027CHF,Staples
SIX/US8552441094CHF,Starbucks - Share Price CHF
SIX/US8552441094EUR,Starbucks - Share Price CHF
SIX/US8636671013CHF,Stryker
SIX/US8676524064CHF,SunPower
SIX/US8725901040CHF,T-Mobile US
SIX/US8765685024CHF,Tata Motors
SIX/US88160R1014CHF,Tesla - Share Price CHF
SIX/US88160R1014EUR,Tesla - Share Price CHF
SIX/US8816242098CHF,Teva Pharma Ind
SIX/US8835561023CHF,Thermo Fisher Scien
SIX/US8825081040CHF,Texas Instruments
SIX/US88554D2053CHF,3-D Systems
SIX/US88579Y1010CHF,3M
SIX/US8873173038CHF,Time Warner - Share Price CHF
SIX/US8873173038EUR,Time Warner - Share Price CHF
SIX/US8923561067CHF,TRACTOR SUPPLY
SIX/US8936411003CHF,TRANSDIGM GROUP
SIX/US89417E1091CHF,Travelers Comp - Share Price CHF
SIX/US89628E1047CHF,Trina Solar - Share Price CHF
SIX/US8969452015CHF,TripAdvisor
SIX/US90184L1026CHF,Twitter - Share Price CHF
SIX/US90184L1026EUR,Twitter - Share Price CHF
SIX/US90338S1024CHF,US Geothermal - Share Price CHF
SIX/US9043111072CHF,Under Armour
SIX/US9078181081CHF,Union Pacific
SIX/US9092143067CHF,UNISYS
SIX/US9113121068CHF,United Parcel Svc
SIX/US9130171096CHF,United Tech - Share Price CHF
SIX/US9130171096USD,United Tech
SIX/US9130171096EUR,United Tech - Share Price CHF
SIX/US91324P1021CHF,Unitedhealth Group - Share Price CHF
SIX/US91324P1021EUR,Unitedhealth Group - Share Price CHF
SIX/US91324P1021USD,Unitedhealth Group
SIX/US9182041080CHF,VF
SIX/US91912E1055CHF,Vale
SIX/US92343V1044CHF,Verizon Comm - Share Price CHF
SIX/US92343V1044EUR,Verizon Comm - Share Price CHF
SIX/US92532F1003CHF,Vertex Pharmaceutic
SIX/US92826C8394CHF,Visa - Share Price CHF
SIX/US92826C8394EUR,Visa - Share Price CHF
SIX/US92912L1070CHF,voxeljet
SIX/US9311421039CHF,Wal-Mart Stores - Share Price CHF
SIX/US9311421039EUR,Wal-Mart Stores - Share Price CHF
SIX/US9314271084CHF,Walgreens
SIX/US9497461015CHF,Wells Fargo - Share Price CHF
SIX/US9497461015EUR,Wells Fargo - Share Price CHF
SIX/US9581021055CHF,Western Digital
SIX/US9668371068CHF,Whole Foods Market - Share Price CHF
SIX/US9831341071CHF,Wynn Resorts
SIX/US9841211033CHF,Xerox - Share Price CHF
SIX/US9841216081CHF,Xerox Corp
SIX/US98426T1060CHF,YY Inc
SIX/US9843321061CHF,Yahoo - Share Price CHF
SIX/US9843321061EUR,Yahoo - Share Price CHF
SIX/US9858171054CHF,Yelp
SIX/US98584B1035CHF,Yingli Green0 - Share Price CHF
SIX/US98584B2025CHF,Yingli Green
SIX/US9884981013EUR,Yum Brands - Share Price CHF
SIX/US9884981013CHF,Yum Brands - Share Price CHF
SIX/US98956P1021CHF,ZIMMER HLD
SIX/US98986T1088CHF,Zynga
SIX/VGG290991014USD,EASTERN PROP HLD
SIX/VGG3637V1094CHF,FORMULAFIRST I
SIX/VGG607541015CHF,Michael Kors
SIX/ZAE000018123CHF,GOLD FI LI
SIX/CH0368919517CHF,Rothschild RE Swiss ANR
SIX/US0079031078USD,Advanced Micro Dev
SIX/US02079K3059USD,Alphabet
SIX/US0213461017USD,Altaba Inc.
SIX/US0231351067USD,Amazon.com
SIX/US03965L1008USD,Arconic Inc.
SIX/US0378331005USD,Apple
SIX/US1510201049USD,Celgene Corp
SIX/DE000A2E4K43CHF,DELIVERY HERO AG
SIX/US30231G1022USD,Exxon Mobil
SIX/US3364331070USD,First Solar
SIX/US3755581036USD,Gilead Sciences
SIX/US38268T1034USD,GoPro
SIX/US4592001014USD,IBM
SIX/US4581401001USD,Intel
SIX/US4781601046USD,Johnson & Johnson
SIX/US46625H1005USD,JPMorgan Chase
SIX/US58933Y1055USD,Merck & Co
SIX/US5949181045USD,Microsoft
SIX/US6174464486USD,Morgan Stanley
SIX/US64110L1061USD,Netflix
SIX/US6516391066USD,Newmont Mining
SIX/US68389X1054USD,Oracle
SIX/US70450Y1038USD,PayPal
SIX/US7427181091USD,Procter & Gamble
SIX/US7475251036USD,Qualcomm
SIX/US83304A1060USD,SNAP INC.
SIX/US8552441094USD,Starbucks
